0,0,0,0.000589,0.000918165
0,0,0,0.000665,0.00104557
0,0,0,0.000752,0.00117858
0,0,0,0.000854,0.00132279
0,0,0,0.000972,0.00148381
0,0,0,0.001108,0.00166724
0,0,0,0.001268,0.00188102
0,0,0,0.001453,0.00212989
0,0,0,0.001668,0.00241457
0,0,0,0.001918,0.00273583
0.00614265,0.000358227,0.000407619,0.002209,0.00309442
0.0074428,0.00043866,0.000497068,0.002547,0.00350706
0.00901661,0.00053623,0.000604713,0.002939,0.00399078
0.010917,0.000654061,0.00073364,0.003394,0.00454679
0.0132053,0.000795649,0.000887247,0.003921,0.00517625
0.0159515,0.000964828,0.00106921,0.00453,0.00588035
0.0192347,0.00116572,0.0012834,0.00524,0.00669334
0.0231436,0.00140263,0.00153382,0.00605,0.00765102
0.027775,0.00167992,0.00182443,0.00698,0.00875694
0.0332339,0.0020018,0.00215896,0.00806,0.0100146
0.0396308,0.00237208,0.00254073,0.00929,0.0114277
0.0470801,0.00279433,0.00297282,0.0107,0.0130767
0.0557012,0.00327374,0.00345993,0.01231,0.0150397
0.0656137,0.0038166,0.00400793,0.01413,0.0173166
0.0769323,0.00443021,0.0046237,0.01619,0.0199071
0.0897612,0.00512316,0.00531546,0.01852,0.0228112
0.104188,0.00590458,0.00609138,0.02113,0.0263194
0.120273,0.00678005,0.00695291,0.02405,0.0305964
0.138044,0.0077526,0.00789634,0.0273,0.0354538
0.157485,0.00882286,0.008913,0.03089,0.0407028
0.17853,0.00998841,0.00998835,0.03484,0.046155
0.201077,0.0112452,0.0111054,0.03916,0.0517822
0.225091,0.0125949,0.0122607,0.0439,0.0577804
0.250566,0.0140425,0.0134578,0.049,0.0642972
0.277507,0.0155944,0.0147044,0.0545,0.0714801
0.305941,0.0172596,0.016013,0.0604,0.0794766
0.335858,0.0190467,0.0173958,0.0668,0.0891807
0.366981,0.0209545,0.0188452,0.0736,0.100756
0.398876,0.0229763,0.020344,0.0808,0.113256
0.430998,0.0251017,0.02187,0.0885,0.125732
0.462692,0.0273163,0.0233957,0.0966,0.137237
0.493357,0.0296062,0.0248961,0.1052,0.147446
0.523006,0.0319746,0.0263761,0.1141,0.157014
0.551939,0.034433,0.0278541,0.1235,0.166463
0.580599,0.0369983,0.0293551,0.1334,0.176316
0.60957,0.0396928,0.0309104,0.1436,0.187096
0.639359,0.0425402,0.0325498,0.1541,0.19921
0.669651,0.0455474,0.0342714,0.1651,0.212408
0.699829,0.0487161,0.036062,0.1764,0.226225
0.729177,0.0520467,0.0379052,0.1879,0.240199
0.756885,0.0555384,0.039781,0.1998,0.253865
0.782292,0.0591876,0.0416705,0.2119,0.267021
0.805666,0.0629819,0.0435728,0.2243,0.279976
0.827599,0.0669031,0.0454932,0.2369,0.293034
0.84878,0.0709285,0.0474385,0.2496,0.3065
0.869984,0.0750299,0.0494172,0.2625,0.320679
0.891761,0.0791769,0.0514343,0.2755,0.336016
0.913444,0.0833463,0.0534735,0.2886,0.352361
0.933977,0.087516,0.0555102,0.3017,0.369128
0.952218,0.0916625,0.0575166,0.3149,0.385732
0.96696,0.0957612,0.0594619,0.3281,0.401587
0.97734,0.0997977,0.061324,0.3412,0.416472
0.984028,0.103804,0.0631288,0.3543,0.430797
0.988144,0.107834,0.0649189,0.3673,0.444921
0.990851,0.111948,0.0667425,0.3803,0.459203
0.993336,0.11622,0.0686538,0.3931,0.474002
0.996373,0.120706,0.0706963,0.406,0.489517
0.999038,0.125363,0.0728508,0.418,0.505522
0.999978,0.130111,0.0750778,0.431,0.521741
0.997844,0.134856,0.0773325,0.443,0.537898
0.991329,0.139493,0.0795647,0.455,0.553715
0.979657,0.143943,0.0817368,0.467,0.5691
0.963905,0.148281,0.0838826,0.479,0.58424
0.945573,0.152637,0.0860598,0.49,0.599281
0.926078,0.157157,0.0883322,0.502,0.61437
0.906735,0.162006,0.0907704,0.513,0.629654
0.888509,0.167331,0.0934397,0.524,0.645193
0.871353,0.173144,0.0963577,0.535,0.660892
0.854998,0.179417,0.0995304,0.546,0.67666
0.839198,0.186117,0.102964,0.557,0.692409
0.823726,0.193202,0.106663,0.567,0.708049
0.808307,0.200621,0.110629,0.578,0.723594
0.792431,0.208315,0.114828,0.588,0.739105
0.775569,0.216212,0.119217,0.599,0.75456
0.757244,0.224231,0.12374,0.61,0.769938
0.737043,0.232275,0.128336,0.62,0.785216
0.71473,0.240257,0.132947,0.631,0.800683
0.690558,0.24816,0.13757,0.642,0.816354
0.66489,0.255987,0.142218,0.653,0.831798
0.638078,0.263744,0.146905,0.664,0.846587
0.610456,0.271441,0.151651,0.676,0.860291
0.582346,0.279097,0.156475,0.687,0.872925
0.554065,0.286755,0.161404,0.699,0.88487
0.525903,0.294476,0.166464,0.71,0.896242
0.498108,0.302323,0.17169,0.722,0.907158
0.470894,0.310372,0.177116,0.734,0.917734
0.44445,0.318692,0.182777,0.745,0.928345
0.418992,0.327307,0.188685,0.757,0.93895
0.394699,0.336232,0.194845,0.769,0.949035
0.371707,0.34548,0.201261,0.781,0.958091
0.350108,0.355066,0.20794,0.793,0.965605
0.329904,0.364985,0.214875,0.805,0.971976
0.310864,0.375142,0.222022,0.817,0.977833
0.292741,0.38541,0.229316,0.828,0.983006
0.275338,0.395646,0.236684,0.84,0.987325
0.258497,0.405688,0.244046,0.851,0.990621
0.242158,0.415435,0.251347,0.862,0.993343
0.226504,0.425064,0.258695,0.873,0.995887
0.211726,0.434851,0.266252,0.884,0.998008
0.19796,0.445097,0.274202,0.894,0.999461
0.185297,0.456137,0.282752,0.904,1
